s2id,longitude,latitude,label,sublabel,iso3,source
8fb24205,-80.35751283451334,7.32620119487717,Búcaro,Los Santos,PAN,buffer
8fb2420b,-80.34637535845074,7.331295630602828,Búcaro,Los Santos,PAN,provided_points
8fb269e3,-80.35194428106844,7.336749896264925,Búcaro,Los Santos,PAN,buffer
8e54a3d1,-79.07297931434694,9.121354045433973,Puerto Coquira,Panamá,PAN,buffer
8faca2cf,-79.70913681393978,8.878392740667712,Puerto Caimito,Panamá Oeste,PAN,buffer
8facbd2b,-79.69791574256963,8.867200151416547,Puerto Caimito,Panamá Oeste,PAN,buffer
8fad83df,-80.16239479631659,7.7605099972579845,Búcaro,Los Santos,PAN,buffer
8fad95f9,-80.37421627830238,8.018145144649768,Boca Parita,Herrera,PAN,buffer
8fafbcdb,-81.8142380364605,8.21180254159876,Puerto Remedios,Chiriquí,PAN,buffer
8e4df6ad,-78.19349107877542,7.539915924822685,Puerto Piña,Darién,PAN,buffer
8fa5765b,-82.44548568741834,8.376297640116602,Puerto Pedregal,Chiriquí,PAN,buffer
8faca34d,-79.66424410399053,8.871706610179888,Puerto Vacamonte,Panamá Oeste,PAN,buffer
8facaf35,-79.53505296247408,8.94971006855309,Puerto Panamá,Panamá,PAN,buffer
8fa502e1,-82.86675443672135,8.269879895239097,Puerto Armuelles,Chiriquí,PAN,buffer
8faca5e3,-79.5743915080736,8.95082459328053,La Boca,Panamá,PAN,buffer
8facaa67,-79.43381882628826,9.017604285644763,Puerto Juan Díaz,Panamá,PAN,buffer
8facaa7f,-79.42819143245887,9.033784811579604,Puerto Juan Díaz,Panamá,PAN,buffer
8facaf29,-79.51818838226727,8.94378752866368,Puerto Panamá,Panamá,PAN,buffer
8facaf55,-79.55753421499304,8.950347507949356,La Boca,Panamá,PAN,buffer
8facbcaf,-79.65863093729601,8.860670897302196,Puerto Vacamonte,Panamá Oeste,PAN,buffer
8fadc8fd,-80.50772367979694,8.237168138074999,Puerto Aguadulce,Coclé,PAN,buffer
8fa5036d,-82.83982853118104,8.274835318266616,Puerto Armuelles,Chiriquí,PAN,buffer
8faca8cd,-79.5294317822214,8.954994508914362,Puerto Panamá,Panamá,PAN,provided_points
8facaa71,-79.43944587625732,9.028662101065882,Puerto Juan Díaz,Panamá,PAN,buffer
8fae1139,-81.06166621384345,7.925801463781481,Puerto Mutis,Veraguas,PAN,buffer
8fa5035d,-82.82905513620963,8.263771142497992,Puerto Armuelles,Chiriquí,PAN,buffer
8facbcd1,-79.68669326629015,8.861449192780537,Puerto Vacamonte,Panamá Oeste,PAN,buffer
8fafbcd9,-81.81970357486155,8.211913649876474,Puerto Remedios,Chiriquí,PAN,buffer
8fad9627,-80.33523640630077,8.017230180064738,Boca Parita,Herrera,PAN,buffer
8fadbe07,-80.36864883328118,8.02879088447291,Boca Parita,Herrera,PAN,buffer
8fa57653,-82.43464977719417,8.376090382851341,Puerto Pedregal,Chiriquí,PAN,provided_points
8faca5f9,-79.5631536602154,8.94506241475402,La Boca,Panamá,PAN,provided_points
8faca8c9,-79.53505296247408,8.960598713454777,Puerto Panamá,Panamá,PAN,provided_points
8facaf2d,-79.52381025543345,8.94939078055223,Puerto Panamá,Panamá,PAN,buffer
8fadbdf5,-80.34637535845074,8.022879569647193,Boca Parita,Herrera,PAN,buffer
8fadbe11,-80.37978335354741,8.034440940754468,Boca Parita,Herrera,PAN,buffer
8fadbdff,-80.36308101863455,8.023271953852124,Boca Parita,Herrera,PAN,buffer
8fa50303,-82.86137012263605,8.280656768288617,Puerto Armuelles,Chiriquí,PAN,buffer
8fa50371,-82.83444205019033,8.280175214030612,Puerto Armuelles,Chiriquí,PAN,buffer
8facaa77,-79.43944587625732,9.034110359747512,Puerto Juan Díaz,Panamá,PAN,buffer
8facbcc3,-79.68108150169897,8.85041484166916,Puerto Vacamonte,Panamá Oeste,PAN,buffer
8fadbdc5,-80.35194428106844,8.049954751833143,Boca Parita,Herrera,PAN,buffer
8fadbdf1,-80.35194428106844,8.028398494498884,Boca Parita,Herrera,PAN,buffer
8fb269df,-80.34080606681118,7.336509937451677,Búcaro,Los Santos,PAN,buffer
8fb269fb,-80.35751283451334,7.342204679977504,Búcaro,Los Santos,PAN,buffer
8fa5031f,-82.86137012263605,8.269783946783125,Puerto Armuelles,Chiriquí,PAN,buffer
8fa577ab,-82.42923118720384,8.370547460308496,Puerto Pedregal,Chiriquí,PAN,buffer
8fa5771d,-82.42923118720384,8.35423235005035,Puerto Pedregal,Chiriquí,PAN,buffer
8facaed7,-79.51256616287992,8.943627741867356,Puerto Panamá,Panamá,PAN,buffer
8facaf4d,-79.54629428274575,8.950028977658942,Chorrillo,Panamá,PAN,buffer
8facbccd,-79.68108150169897,8.86673373880859,Puerto Vacamonte,Panamá Oeste,PAN,provided_points
8fb269db,-80.33523640630077,7.341724421036467,Búcaro,Los Santos,PAN,buffer
